Year ,Author ,Paper name ,citation,Domain,Dataset ,Journal ,Conference,Method  and keywords ,Limitations,Advantages
2015,"Hall D, McCool C, Dayoub F, Sunderhauf N, Upcroft ",Evaluation of features for leaf classification in challenging conditions,125,DL,FLAVIA,ELS,IE,,less images were used for experimentation  ,"Compared to the classic ConNet, the hybrid technique produced more accurate results.
On average throughout all tests, they received 5.7%."
2015,Choi S. ,Plant Identification with Deep Convolutional Neural Network,61,DL,LIFECELF,CLEF,,Fine tuning from GoogLeNet  (1) Borda-fuse method (2) Majority voting based method,NAresults were 20% worse than other contestants. result was 20% worse than the befrore result explained mainly by the absence of plant specific strategies in pipeline.,NA
2015,"Rejeb Sfar A, Boujemaa N, Geman D",Identification of plants from multiple images and botanical idkeys,12,DL,LIFECELF,H,o,ID Keys,The dataset consist of only uncluttered images the work should be done on explored dataset,Achieved accuracy of almost 100%.
2015,"Reyes AK, Caicedo JC, Camargo JE",Fine-tuning Deep Convolutional Networks for Plant Recognition.,229,DL,LIFECELF,CLEF,,CNN,the matcher algorithm increased it accuracy after 2 stages and on particular plant species only,"With the aid of a colour histogram, they saw an increase of 4% in computed outcomes compared to other approaches. "
2015,"Simonyan K, Zisserman A",Very deep convolutional networks for large-scale image recognition,102800,DL,ILSVRC,H,o,CNN,very large data set( 1.4 M images ) was used by authors for experiment .,"the main advantage is that , their results were better as compared to that of ILSVRC-2013 without use of  less scales  and  any resolution enhancement    techniques "
2015,"Pape JM, Klukas C",histogram-based segmentation and leaf detection for rosette plants,101,ML,Private ,CLER,SP,3-D histogram,The main limitation is that the dataset had images without proper settings.,". For photos that aren't too dissimilar from the training data, the calculation of colour cubes in the L*a*b* colour space has proven to be a very effective foundation for foreground/background separation. The system was more effective when the leaf centre points were located using a distance map and the leaf segments were divided using split line calculations."
2015,"Jeon WS, Rhee SY. ",Plant leaf recognition using a convolution neural network.,158,ML,FLAVIA ,ELS,,": K-NN, Colour Histogram",NA,NA
2016,"Zhang C, Zhang S, Fang W",Plant leaf recognition through local discriminative tangent space alignment,5,ML,"ICL,SWEDISH",H,,LDTSA,very less feature extraction and classification method were used  ,worked on geometric and discriminative information  as well which enhanced  the accuracy rate .
2016,"Sladojevic S, Arsenovic M, Anderla A, Culibrk D, Stefanovic D",Deep neural networks based recognition of plant diseases by leaf image classification.,1461,DL,Private ,H,,CNN,dropout layer  increased training time 2-3 times comparing to a standard neural network of the exact architecture,"results were achieved with exceedingly reduced loss, but after the 60th iteration."
2016,"Lee SH, Chang YL, Chan CS, Remagnino P",Plant Identification System based on a Convolutional Neural Network for the LifeClef 2016 Plant Classification Task,41,DL,ImageNet 2012 data set. And PlantClef2015.,CLEF,,CNN,NA,NA
2016,"Mzoughi O, Yahiaoui I, Boujemaa N, Zagrouba E. ",Semantic-based automatic structuring of leaf images for advanced plant species identification,20,DL,ILSVRC-2012 ,SP,,KNN,NA,divided the features  into several categories which leads to categorization of leaves vey effectively
2016,"Keni ND, Ahmed R. ",Neural networks based leaf identification using shape and structural decomposition,8,DL,FLAVIA ,,IE,ANN,"After increasing the regularization parameter, both training and test set accuracies had begun to decrease. Thus, the parameter was set to a value to obtain the highest test accuracy.",The shallow network followed by the RBF Network and Deep Belief Network (DBN) extracted more features.
2016,"Mehdipour Ghazi M, Yan?ko?lu B, Aptoula E",Open-set plant identification using an ensemble of deep convolutional neural networks,24,DL,: ILSVRC 2012 LifeCLEF 2015,CLEF,,VGGNet and GoogLeNet,NA,NA
2016,"Ren S, He K, Girshick R, Sun J",Faster r-cnn: Towards real-time object detection with region proposal networks,59597,DL,IE,H,,Faster R-CNN ,Training time was increased by 2–3 times and was compared to a standard neural network of the exact architecture,The results were improved after the 60th iteration
2016,"Xiao Q, Li G, Xie L, Chen Q.",Real-world plant species identification based on deep convolutional neural networks and visual attention. ,23,DL,Plant CLEF,ELS,,CNN : ResNet50 and Inception v3 tools.,NA,NA
2016,". Grinblat GL, Uzal LC, Larese MG, Granitto PM",Deep learning for plant identification using vein morphological patterns,554,DL,INTA,ELS,,CNN,The work can also be explored using other parameters. ,AC expected more differences in the intra- and inter-class species at different times.
2016,". Wu H, Liu J, Li P, Wen Z. ",Leaf recognition based on binary Gabor pattern and extreme learning machine. ,5,ML,Private ,SP,,"RISC, BGP, BGP+SVM, BGP+ELM.",NA,NA
2016,"Pushpa BR, Anand C, Nambiar PM", Ayurvedic plant species recognition using statistical parameters on leaf images. ,45,ML,Private ,O,,": standard deviation, Isoperimetric quotient, Entropy, Eccentricity","The system is quite compact and has low computational complexity. The work can also be used to explore other features of leaves such as color, view, size, etc., rather than the shape alone","They worked on 4 main datasets and did experimentation on the MPEG-7 shape dataset. They worked on N and M shape parameters as and after applying multiclass parameters, they achieved the enhanced results."
2017,"Šulc M, Matas J",Fine-grained recognition of plants from images.,50,DL,Private ,o,,"Ffirst ,CNN",NA,NA
2017,"Barré P, Stöver BC, Müller KF, Steinhage V. ",LeafNet: A computer vision system for automatic plant species identification.,239,DL,LEAFSNAP,ELS,,CNN,The results were degraded when the data set was increased after decreasing the dataset images.,"The selected venation feature, which extracted more features and eliminated human efforts of preprocessing the data on other parameters."
2017,"Lee SH, Chan CS, Mayo SJ, Remagnino P",How deep learning extracts and learns leaf features for plant classification. Pattern Recognition.,470,DL,PlantClef2015,ELS,,"CNN,DN De-convolutional Network (DN),MLP,SVM ","Texture ,contour, Colour features were not used in study ","The main advantage is that rather than using traditional features of leaf they worked on discriminating features ie. Shape+ venetian  
Following are some advantages of this approach 
 (1) Different orders of venation were  the best representative features compared to those of outline shape.
 (2) They observed multi-level representation in leaf data, demonstrating the hierarchical transformation of features from lower-level to higher-level abstraction, corresponding to species classes.
"
2017,"Kumar M, Gupta S, Gao XZ, Singh A. ",Plant Species Recognition Using Morphological Features and  Adaptive Boosting Methodology,59,ML,FLAVIA,IE,,"k-NN, decision tree, and multilayer perceptron classifier, The AdaBoost MLP",NA,"Comparing MLP and Adaboost_MLP, it was found that Adaboost_MLP had a somewhat higher accuracy than MLP. It has been noted that the AdaBoost algorithm combined with a 5-fold MLP classifier allowed for a maximum accuracy of 95.40 percent. "
2017,"Zhang S, Zhang C, Zhu Y, You Z",Discriminant WSRC for large-scale plant species recognition,8,ML,ICL,H,,A discriminant  weighted  sparse representation based classification .DWSRC,"The recognition rate of WSRC was higher than LMS, MMD, and CCD, but its computational timewas the longest","For broad-scale plant species recognition, DWSRC was reasonable. To solve the SR problem and identify the test samples, DWSRC only used the candidate similar class, and it makes use of the similarity relationship between each test sample and each training sample. As a result, the computational cost was dramatically decreased and the adverse effects of noise, modelling error, and outliers on identification performance were greatly mitigated."
2017,"Chaudhury A, Ward C, Talasaz A, Ivanov AG, Brophy M, Grodzinski B, Hüner NP, Patel RV, ",Machine vision system for 3D plant phenotyping. IEEE/ACM transactions on computational biology and bioinformatics.,70,CV,Private ,O,,?-Shape Triangulation,"It was noted that no communication occurred between the robot, chamber, and scanner during the experiment. They have run across a number of issues in integrating the robot, chamber, scanner, etc. Throughout the life of the plant, the robot and the chamber had to communicate frequently (every 4 hours because they were carrying out 6 scans each day), which created problems with lost communication due to network failure and infrequent hardware faults (such as issues with electronic chips at robot joints, etc.).


","In obstructed leafy areas, the junction recognition system also identified incorrect feature points as junctions. Density-based clustering was used to solve this issue by filtering out the remaining feature points and extracting the genuine connections."
2017,"Weiss U, Biber P, Laible S, Bohlmann K, Zell A",Plant species classification using a 3D LIDAR sensor and machine learning.,78,DL,Private ,IE,,"logistic regression functions, support vector machines and neuronal networks",NA,NA
